name,description,price,currency,color,size_list,category,gender
SATIN EFFECT CORSET BODYSUIT,"Bodysuit with sweetheart neckline and adjustable spaghetti straps. Bottom snap button closure. Perfect for romantic date nights, layering under blazers for work-to-dinner transitions, or styling with high-waisted trousers for contemporary elegance. The satin finish adds luxurious appeal for special occasions and evening events.",29.9,USD,Pale pink,S/M/L,Tops,Women
LONG PRINT DRESS,"Long dress with round neck and long sleeves. Back cut out detail. Tie closures. Ideal for autumn gatherings, weekend brunches, or casual office environments. The brick color and print make it perfect for fall styling, transitional weather, and effortless bohemian-chic looks.",49.9,USD,Brick,XS/S/M/L/XL,Dresses,Women
PLAID SHIRT DRESS,"Shirtdress with lapel collar and long sleeves. Front button closure. Classic wardrobe staple perfect for office casual, weekend shopping, or layered over leggings for cozy fall days. Versatile piece that transitions seamlessly from professional meetings to casual coffee dates.",27.9,USD,Black,XS/S/M/L/XL,Dresses,Women
CORDUROY CAP,"Cap with visor. Back fit adjustment. Essential streetwear accessory perfect for casual weekends, outdoor activities, or adding vintage-inspired flair to everyday outfits. The corduroy texture brings retro sophistication to contemporary casual styling.",25.9,USD,Anthracite grey,S/M/L/XL,Accessories,Men
CLASSIC STRIPED SWIMSUIT,"Swimsuit made of lightweight technical fabric. Adjustable elastic drawstring waist. Side pockets and back patch pocket. Perfect for beach vacations, pool parties, summer getaways, and resort wear. Athletic-inspired design ideal for active beach days and water sports.",35.9,USD,Navy blue,M/L/XL,Swimwear,Women
CROPPED T-SHIRT,"Sleeveless crop top with round neckline. Essential summer staple perfect for festival outfits, gym sessions, layering under blazers, or pairing with high-waisted bottoms. Minimalist design ideal for creating trendy, youthful looks and casual weekend styling.",7.9,USD,Black,XS/S/M/L/XL,Tops,Women
GEOMETRIC PRINT OVERSHIRT,"Relaxed fit overshirt with lapel collar and long sleeves. Patch pockets at chest and hip. Washed effect print. Front button closure. Perfect for creative professional environments, weekend art gallery visits, or layering over basics for artistic, contemporary style. Ideal transitional piece for spring and fall.",69.9,USD,Mid-blue,S/M/L/XL,Tops,Men
LEATHER SNEAKERS,"Combination sneakers in 100% cowhide split leather. Adjustable lace closure. Reflective piece detail at front and back. Perfect for smart-casual occasions, weekend city exploration, or adding sophisticated edge to casual outfits. Premium construction ideal for fashion-conscious urban professionals.",55.9,USD,Sandy brown,S/M/L/XL,Shoes,Men
RUFFLED TOP,"Sleeveless round neck crop top with ruffle trim. Romantic feminine piece perfect for summer dates, brunch with friends, vacation styling, or adding playful texture to minimalist outfits. The white color and ruffle details create fresh, youthful appeal.",12.9,USD,White,S/M/L,Tops,Women
MINI FLARED KNIT PANTS,"High-waisted pants with elastic waistband. A-line silhouette. Trendy statement piece perfect for fashion-forward styling, creative workplaces, or adding retro-modern flair to contemporary looks. Comfortable yet stylish for all-day wear and social events.",35.9,USD,Black,S/M/L/XL,Bottoms,Women
